"Nom","ID_EXPERIMENT","Type de la librairie "
"Brest_2018_10","Brest_2018_NSI_broyage_ind10_noPCR","Shotgun (PCR free)"
"Brest_2018_2","Brest_2018_NSI_broyage_ind2_noPCR","Shotgun (PCR free)"
"Brest_2018_3","Brest_2018_NSI_broyage_ind3_noPCR",
"Brest_2018_4","Brest_2018_NSI_broyage_ind4_noPCR","Shotgun (PCR free)"
"Brest_2018_6","Brest_2018_NSI_broyage_ind6_noPCR","Shotgun (PCR free)"
"Brest_2018_9","Brest_2018_NSI_broyage_ind9_noPCR","Shotgun (PCR free)"
"Brest_2018_Pool","Brest_2018_NSI_broyage_Pool_PCR","Shotgun"
"LT_2018_1","LT_2018_NSI_broyage_ind1_noPCR","Shotgun (PCR free)"
"LT_2018_10","LT_2018_NSI_broyage_ind10_noPCR","Shotgun (PCR free)"
"LT_2018_3","LT_2018_NSI_broyage_ind3_noPCR","Shotgun (PCR free)"
"LT_2018_4","LT_2018_NSI_broyage_ind4_noPCR","Shotgun (PCR free)"
"LT_2018_6","LT_2018_NSI_broyage_ind6_noPCR",
"LT_2018_7","LT_2018_NSI_broyage_ind7_noPCR","Shotgun (PCR free)"
"LT_2018_8","LT_2018_NSI_broyage_ind8_noPCR","Shotgun (PCR free)"
"LT_2018_9","LT_2018_NSI_broyage_ind9_noPCR","Shotgun (PCR free)"
"LT_2018_Pool","LT_2018_NSI_broyage_Pool_noPCR","Shotgun (PCR free)"
"LT_2018_Pool","LT_2018_NSI_broyage_Pool_PCR","Shotgun"
"Thau_2016_F15-ind1","Thau_2016_F15_filtration_ind1_PCR","Shotgun"
"Thau_2016_F15-ind2","Thau_2016_F15_filtration_ind2_PCR","Shotgun"
"Thau_2016_F15-ind4","Thau_2016_F15_filtration_ind4_PCR","Shotgun"
"Thau_2016_Pool-F15","Thau_2016_F15_filtration_Pool_noPCR","Shotgun (PCR free)"
"Thau_2016_Pool-F15","Thau_2016_F15_filtration_Pool_PCR","Shotgun"
"Thau_2018_1","Thau_2018_NSI_broyage_ind1_noPCR","Shotgun (PCR free)"
"Thau_2018_10","Thau_2018_NSI_broyage_ind10_noPCR","Shotgun (PCR free)"
"Thau_2018_3","Thau_2018_NSI_broyage_ind3_noPCR","Shotgun (PCR free)"
"Thau_2018_4","Thau_2018_NSI_broyage_ind4_noPCR","Shotgun (PCR free)"
"Thau_2018_5","Thau_2018_NSI_broyage_ind5_noPCR","Shotgun (PCR free)"
"Thau_2018_6","Thau_2018_NSI_broyage_ind6_noPCR","Shotgun (PCR free)"
"Thau_2018_7","Thau_2018_NSI_broyage_ind7_noPCR","Shotgun (PCR free)"
"Thau_2018_8","Thau_2018_NSI_broyage_ind8_noPCR","Shotgun (PCR free)"
"Thau_2018_9","Thau_2018_NSI_broyage_ind9_noPCR","Shotgun (PCR free)"
"Thau_2018_Pool","Thau_2018_NSI_broyage_Pool_PCR","Shotgun"
